category,make,model,trim,kbb_true_price,trim_url
COMPACT,Ford,Fiesta,"Sedan Titanium 4-Cyl, 1.6 L Manual, 5-Spd","$17,476 - $18,399",https://www.kbb.com/ford/fiesta/2016/titanium/?vehicleid=409980&intent=buy-new&category=sedan
COMPACT,Ford,Fiesta,"Hatchback S 4-Cyl, 1.6 L Manual, 5-Spd","$14,077 - $14,820",https://www.kbb.com/ford/fiesta/2016/s/?vehicleid=409976&intent=buy-new&category=hatchback
COMPACT,Ford,Fiesta,"Hatchback SE 4-Cyl, 1.6 L Manual, 5-Spd","$15,252 - $16,053",https://www.kbb.com/ford/fiesta/2016/se/?vehicleid=409977&intent=buy-new&category=hatchback
COMPACT,Ford,Fiesta,"Hatchback Titanium 4-Cyl, 1.6 L Manual, 5-Spd","$17,930 - $18,865",https://www.kbb.com/ford/fiesta/2016/titanium/?vehicleid=409979&intent=buy-new&category=hatchback
COMPACT,Ford,Fiesta,"Hatchback ST 4-Cyl, EcoBoost, Turbo, 1.6 L Manual, 6-Spd","$20,765 - $21,446",https://www.kbb.com/ford/fiesta/2016/st/?vehicleid=409981&intent=buy-new&category=hatchback
COMPACT,Ford,Focus,"Sedan S 4-Cyl, Flex Fuel, 2.0 L Manual, 5-Spd Front-Wheel Drive","$16,776 - $17,583",https://www.kbb.com/ford/focus/2016/s/?vehicleid=413298&intent=buy-new&category=sedan
COMPACT,Ford,Focus,"Sedan SE 4-Cyl, Flex Fuel, 2.0 L Manual, 5-Spd Front-Wheel Drive","$17,973 - $18,838",https://www.kbb.com/ford/focus/2016/se/?vehicleid=413288&intent=buy-new&category=sedan
COMPACT,Ford,Focus,"Hatchback SE 4-Cyl, Flex Fuel, 2.0 L Manual, 5-Spd Front-Wheel Drive","$18,437 - $19,323",https://www.kbb.com/ford/focus/2016/se/?vehicleid=413285&intent=buy-new&category=hatchback
COMPACT,Ford,Focus,"Hatchback ST 4-Cyl, EcoBoost, Turbo, 2.0 L Manual, 6-Spd Front-Wheel Drive","$23,650 - $24,677",https://www.kbb.com/ford/focus/2016/st/?vehicleid=413329&intent=buy-new&category=hatchback
COMPACT,Ford,Focus,"Hatchback RS 4-Cyl, EcoBoost, Turbo, 2.3 L Manual, 6-Spd All-Wheel Drive","$35,846 - $37,338",https://www.kbb.com/ford/focus/2016/rs/?vehicleid=413331&intent=buy-new&category=hatchback
COMPACT,Honda,Fit,"LX Manual, 6-Spd","$15,426 - $16,194",https://www.kbb.com/honda/fit/2016/lx/?vehicleid=410761&intent=buy-new&category=hatchback
COMPACT,Honda,Fit,"EX Manual, 6-Spd","$17,186 - $18,043",https://www.kbb.com/honda/fit/2016/ex/?vehicleid=410763&intent=buy-new&category=hatchback
COMPACT,Honda,Civic,"4-door LX 4-Cyl, i-VTEC, 2.0 L Manual, 6-Spd","$17,512 - $18,654",https://www.kbb.com/honda/civic/2016/lx/?vehicleid=412795&intent=buy-new&category=sedan
COMPACT,Honda,CR-Z,"LX Manual, 6-Spd","$18,492 - $19,956",https://www.kbb.com/honda/cr-z/2016/lx/?vehicleid=414607&intent=buy-new&category=coupe
COMPACT,Honda,CR-Z,"EX Manual, 6-Spd","$20,102 - $21,695",https://www.kbb.com/honda/cr-z/2016/ex/?vehicleid=414609&intent=buy-new&category=coupe
COMPACT,Honda,CR-Z,"EX-L Manual, 6-Spd","$22,114 - $23,865",https://www.kbb.com/honda/cr-z/2016/ex-l/?vehicleid=414610&intent=buy-new&category=coupe
COMPACT,Hyundai,Accent,"Sedan SE Manual, 6-Spd","$14,374 - $15,081",https://www.kbb.com/hyundai/accent/2016/se/?vehicleid=412038&intent=buy-new&category=sedan
COMPACT,Hyundai,Accent,"Hatchback SE Manual, 6-Spd","$14,603 - $15,322",https://www.kbb.com/hyundai/accent/2016/se/?vehicleid=412039&intent=buy-new&category=hatchback
COMPACT,Hyundai,Accent,"Hatchback Sport Manual, 6-Spd","$15,987 - $16,774",https://www.kbb.com/hyundai/accent/2016/sport/?vehicleid=412042&intent=buy-new&category=hatchback
