category,make,model,trim,kbb_true_price,trim_url
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Willys Wheeler W Manual, 6-Spd","$32,519 - $34,085",https://www.kbb.com/jeep/wrangler/2016/unlimited-willys-wheeler-w/?vehicleid=412536&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Rubicon Manual, 6-Spd","$35,210 - $36,907",https://www.kbb.com/jeep/wrangler/2016/unlimited-rubicon/?vehicleid=412517&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Backcountry Manual, 6-Spd","$36,774 - $38,537",https://www.kbb.com/jeep/wrangler/2016/unlimited-backcountry/?vehicleid=418746&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited 75th Anniversary Edition Manual, 6-Spd","$36,578 - $38,340",https://www.kbb.com/jeep/wrangler/2016/unlimited-75th-anniversary-edition/?vehicleid=418747&intent=buy-new&category=suv
MID-SIZED,Jeep,Wrangler,"4-door Unlimited Rubicon Hard Rock Manual, 6-Spd","$39,659 - $41,569",https://www.kbb.com/jeep/wrangler/2016/unlimited-rubicon-hard-rock/?vehicleid=412555&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Sport 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV Front-Wheel Drive","$21,746 - $22,399",https://www.kbb.com/mazda/cx-5/2016/sport/?vehicleid=406839&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Sport 4-Cyl, SKYACTIV-G, 2.0 L Manual, 6-Spd SKYACTIV Front-Wheel Drive (2016.5)","$21,746 - $22,399",https://www.kbb.com/mazda/cx-5/2016/sport/?vehicleid=415828&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Sport 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes Front-Wheel Drive","$23,087 - $23,780",https://www.kbb.com/mazda/cx-5/2016/sport/?vehicleid=406838&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Sport 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes Front-Wheel Drive (2016.5)","$23,470 - $24,175",https://www.kbb.com/mazda/cx-5/2016/sport/?vehicleid=415806&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Sport 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes All-Wheel Drive","$24,285 - $25,014",https://www.kbb.com/mazda/cx-5/2016/sport/?vehicleid=406840&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Sport 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes All-Wheel Drive (2016.5)","$24,716 - $25,459",https://www.kbb.com/mazda/cx-5/2016/sport/?vehicleid=415825&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes Front-Wheel Drive","$25,051 - $25,804",https://www.kbb.com/mazda/cx-5/2016/touring/?vehicleid=406841&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes Front-Wheel Drive (2016.5)","$25,051 - $25,804",https://www.kbb.com/mazda/cx-5/2016/touring/?vehicleid=415833&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes All-Wheel Drive","$26,250 - $27,039",https://www.kbb.com/mazda/cx-5/2016/touring/?vehicleid=406842&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes All-Wheel Drive (2016.5)","$26,297 - $27,088",https://www.kbb.com/mazda/cx-5/2016/touring/?vehicleid=415818&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes Front-Wheel Drive","$27,979 - $28,820",https://www.kbb.com/mazda/cx-5/2016/grand-touring/?vehicleid=406843&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes Front-Wheel Drive (2016.5)","$28,316 - $29,167",https://www.kbb.com/mazda/cx-5/2016/grand-touring/?vehicleid=415808&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes All-Wheel Drive","$29,180 - $30,057",https://www.kbb.com/mazda/cx-5/2016/grand-touring/?vehicleid=406844&intent=buy-new&category=suv
MID-SIZED,Mazda,CX-5,"Grand Touring 4-Cyl, SKYACTIV-G, 2.5 L Automatic, 6-Spd SKYACTIV-Drive w/Manual & Sport Modes All-Wheel Drive (2016.5)","$29,564 - $30,453",https://www.kbb.com/mazda/cx-5/2016/grand-touring/?vehicleid=415821&intent=buy-new&category=suv
MID-SIZED,Mitsubishi,Outlander Sport,"ES 4-Cyl, 2.0 L Manual, 5-Spd Two-Wheel Drive (2.0L)","$18,660 - $19,574",https://www.kbb.com/mitsubishi/outlander-sport/2016/es/?vehicleid=415130&intent=buy-new&category=suv
MID-SIZED,Nissan,Juke NISMO and NISMO RS,,,
MID-SIZED,Subaru,Crosstrek,"2.0i 4-Cyl, PZEV, 2.0 L Manual, 5-Spd","$21,012 - $21,909",https://www.kbb.com/subaru/crosstrek/2016/20i/?vehicleid=413407&intent=buy-new&category=suv
MID-SIZED,Subaru,Crosstrek,"2.0i Premium 4-Cyl, PZEV, 2.0 L Manual, 5-Spd","$21,756 - $22,688",https://www.kbb.com/subaru/crosstrek/2016/20i-premium/?vehicleid=413434&intent=buy-new&category=suv
MID-SIZED,Subaru,Crosstrek,"2.0i Premium 4-Cyl, PZEV, 2.0 L Automatic, CVT w/Manual Mode","$22,892 - $23,865",https://www.kbb.com/subaru/crosstrek/2016/20i-premium/?vehicleid=413431&intent=buy-new&category=suv
MID-SIZED,Subaru,Crosstrek,"2.0i Limited 4-Cyl, PZEV, 2.0 L Automatic, CVT w/Manual Mode","$24,337 - $25,376",https://www.kbb.com/subaru/crosstrek/2016/20i-limited/?vehicleid=413418&intent=buy-new&category=suv
MID-SIZED,Subaru,Crosstrek,"Hybrid 4-Cyl, Hybrid, 2.0 L Automatic, CVT w/Manual Mode","$25,631 - $26,720",https://www.kbb.com/subaru/crosstrek/2016/hybrid/?vehicleid=413435&intent=buy-new&category=suv
MID-SIZED,Subaru,Crosstrek,"Hybrid Touring 4-Cyl, Hybrid, 2.0 L Automatic, CVT w/Manual Mode","$28,982 - $30,219",https://www.kbb.com/subaru/crosstrek/2016/hybrid-touring/?vehicleid=413437&intent=buy-new&category=suv
MID-SIZED,Subaru,Forester,"2.5i 4-Cyl, PZEV, 2.5 L Manual, 6-Spd","$21,416 - $22,520",https://www.kbb.com/subaru/forester/2016/25i/?vehicleid=410670&intent=buy-new&category=suv
MID-SIZED,Subaru,Forester,"2.5i Premium 4-Cyl, PZEV, 2.5 L Manual, 6-Spd","$24,089 - $25,328",https://www.kbb.com/subaru/forester/2016/25i-premium/?vehicleid=410665&intent=buy-new&category=suv
MID-SIZED,Subaru,Forester,"2.0XT Premium 4-Cyl, Turbo, 2.0 L Automatic, CVT w/Lineartronic & Manual Modes","$27,684 - $29,109",https://www.kbb.com/subaru/forester/2016/20xt-premium/?vehicleid=410669&intent=buy-new&category=suv
MID-SIZED,Subaru,Forester,"2.0XT Touring 4-Cyl, Turbo, 2.0 L Automatic, CVT w/Lineartronic & Manual Modes","$32,284 - $33,927",https://www.kbb.com/subaru/forester/2016/20xt-touring/?vehicleid=410672&intent=buy-new&category=suv
PICKUPS,Chevrolet/GMC,Colorado/Canyon,,,
PICKUPS,Ram,2500/3500,,,
PICKUPS,Nissan,Frontier,,,
PICKUPS,Toyota,Tacoma,,,
SPORTS CARS,Aston Martin,Vantage,"Coupe V8 GT V8, 4.7 L Manual, 6-Spd","$106,746 - $108,903",https://www.kbb.com/aston-martin/vantage/2016/v8-gt/?vehicleid=418932&intent=buy-new&category=coupe
SPORTS CARS,Aston Martin,Vantage,"Coupe V8 V8, 4.7 L Manual, 6-Spd","$124,561 - $127,078",https://www.kbb.com/aston-martin/vantage/2016/v8/?vehicleid=418931&intent=buy-new&category=coupe
SPORTS CARS,Aston Martin,Vantage,"Coupe V8 S V8, 4.7 L Manual, 6-Spd","$137,431 - $140,208",https://www.kbb.com/aston-martin/vantage/2016/v8-s/?vehicleid=418940&intent=buy-new&category=coupe
SPORTS CARS,Aston Martin,Vantage,"Convertible V8 GT V8, 4.7 L Manual, 6-Spd","$121,101 - $123,548",https://www.kbb.com/aston-martin/vantage/2016/v8-gt/?vehicleid=418936&intent=buy-new&category=convertible
SPORTS CARS,Aston Martin,Vantage,"Convertible V8 V8, 4.7 L Manual, 6-Spd","$138,916 - $141,723",https://www.kbb.com/aston-martin/vantage/2016/v8/?vehicleid=418933&intent=buy-new&category=convertible
SPORTS CARS,Aston Martin,Vantage,"Convertible V8 S V8, 4.7 L Manual, 6-Spd","$151,786 - $154,853",https://www.kbb.com/aston-martin/vantage/2016/v8-s/?vehicleid=418935&intent=buy-new&category=convertible
SPORTS CARS,Audi,R8,,,
SPORTS CARS,BMW,Z4,"sDrive28i 4-Cyl, Turbo, 2.0 L Manual, 6-Spd","$44,648 - $47,672",https://www.kbb.com/bmw/z4/2016/sdrive28i/?vehicleid=410120&intent=buy-new&category=convertible
SPORTS CARS,BMW,Z4,"sDrive35i 6-Cyl, Twin Turbo, 3.0 L Automatic, 7-Spd Double Clutch w/Manual Mode","$51,522 - $55,009",https://www.kbb.com/bmw/z4/2016/sdrive35i/?vehicleid=410121&intent=buy-new&category=convertible
SPORTS CARS,BMW,Z4,"sDrive35is 6-Cyl, Twin Turbo, 3.0 L Automatic, 7-Spd Double Clutch w/Manual Mode","$59,311 - $63,329",https://www.kbb.com/bmw/z4/2016/sdrive35is/?vehicleid=410122&intent=buy-new&category=convertible
SPORTS CARS,Chevrolet,Camaro,,,
SPORTS CARS,Chevrolet,Corvette,,,
SPORTS CARS,Chevrolet,SS,,,
SPORTS CARS,Dodge,Challenger,"R/T V8, HEMI, 5.7 L Manual, 6-Spd","$30,428 - $31,822",https://www.kbb.com/dodge/challenger/2016/r-t/?vehicleid=412526&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Challenger,"R/T Plus V8, HEMI, 5.7 L Manual, 6-Spd","$33,196 - $34,714",https://www.kbb.com/dodge/challenger/2016/r-t-plus/?vehicleid=412500&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Challenger,"R/T Shaker V8, HEMI, 5.7 L Manual, 6-Spd","$34,119 - $35,676",https://www.kbb.com/dodge/challenger/2016/r-t-shaker/?vehicleid=412515&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Challenger,"R/T Plus Shaker V8, HEMI, 5.7 L Manual, 6-Spd","$36,886 - $38,573",https://www.kbb.com/dodge/challenger/2016/r-t-plus-shaker/?vehicleid=412501&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Challenger,"R/T Scat Pack V8, HEMI, 6.4 L Manual, 6-Spd","$36,915 - $38,604",https://www.kbb.com/dodge/challenger/2016/r-t-scat-pack/?vehicleid=412498&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Challenger,"392 Hemi Scat Pack Shaker V8, HEMI, 6.4 L Manual, 6-Spd","$40,389 - $42,237",https://www.kbb.com/dodge/challenger/2016/392-hemi-scat-pack-shaker/?vehicleid=412499&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Challenger,"SRT 392 V8, HEMI, 6.4 L Manual, 6-Spd","$47,242 - $49,406",https://www.kbb.com/dodge/challenger/2016/srt-392/?vehicleid=412507&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Challenger,"SRT Hellcat V8, HEMI, Supercharged, 6.2 L Manual, 6-Spd","$60,599 - $63,364",https://www.kbb.com/dodge/challenger/2016/srt-hellcat/?vehicleid=412505&intent=buy-new&category=coupe
SPORTS CARS,Dodge,Viper,,,
SPORTS CARS,Fiat,124 Spider,,,
SPORTS CARS,Ford,Mustang,,,
SPORTS CARS,Hyundai,Genesis Coupe,"3.8 Manual, 6-Spd","$25,631 - $26,988",https://www.kbb.com/hyundai/genesis-coupe/2016/38/?vehicleid=414897&intent=buy-new&category=coupe
SPORTS CARS,Hyundai,Genesis Coupe,"3.8 R-Spec Manual, 6-Spd","$28,229 - $29,728",https://www.kbb.com/hyundai/genesis-coupe/2016/38-r-spec/?vehicleid=414895&intent=buy-new&category=coupe
SPORTS CARS,Hyundai,Genesis Coupe,"3.8 Ultimate Manual, 6-Spd","$31,754 - $33,441",https://www.kbb.com/hyundai/genesis-coupe/2016/38-ultimate/?vehicleid=414885&intent=buy-new&category=coupe
SPORTS CARS,Lotus,Evora,,,
SPORTS CARS,Mazda,Miata,,,
SPORTS CARS,Nissan,370Z,"Coupe Base Manual, 6-Spd","$27,760 - $29,561",https://www.kbb.com/nissan/370z/2016/base-style/?vehicleid=409767&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe Base Automatic, 7-Spd w/Manual Mode","$28,931 - $30,807",https://www.kbb.com/nissan/370z/2016/base-style/?vehicleid=409768&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe Sport Manual, 6-Spd","$31,008 - $33,019",https://www.kbb.com/nissan/370z/2016/sport/?vehicleid=409770&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe Sport Automatic, 7-Spd w/Manual Mode","$32,178 - $34,265",https://www.kbb.com/nissan/370z/2016/sport/?vehicleid=409772&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe Sport Tech Manual, 6-Spd","$34,197 - $36,414",https://www.kbb.com/nissan/370z/2016/sport-tech/?vehicleid=409771&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe Sport Tech Automatic, 7-Spd w/Manual Mode","$35,369 - $37,662",https://www.kbb.com/nissan/370z/2016/sport-tech/?vehicleid=409773&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe Touring Manual, 6-Spd","$34,938 - $37,207",https://www.kbb.com/nissan/370z/2016/touring/?vehicleid=409774&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe Touring Automatic, 7-Spd w/Manual Mode","$36,108 - $38,453",https://www.kbb.com/nissan/370z/2016/touring/?vehicleid=409776&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe NISMO Manual, 6-Spd","$38,764 - $41,269",https://www.kbb.com/nissan/370z/2016/nismo/?vehicleid=409778&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe NISMO Automatic, 7-Spd w/Manual Mode","$39,940 - $42,521",https://www.kbb.com/nissan/370z/2016/nismo/?vehicleid=409780&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe NISMO Tech Manual, 6-Spd","$41,805 - $44,516",https://www.kbb.com/nissan/370z/2016/nismo-tech/?vehicleid=409781&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Coupe NISMO Tech Automatic, 7-Spd w/Manual Mode","$42,977 - $45,764",https://www.kbb.com/nissan/370z/2016/nismo-tech/?vehicleid=409779&intent=buy-new&category=coupe
SPORTS CARS,Nissan,370Z,"Roadster Base Automatic, 7-Spd w/Manual Mode","$38,405 - $40,900",https://www.kbb.com/nissan/370z/2016/base-style/?vehicleid=409769&intent=buy-new&category=convertible
SPORTS CARS,Nissan,370Z,"Roadster Touring Manual, 6-Spd","$41,557 - $44,252",https://www.kbb.com/nissan/370z/2016/touring/?vehicleid=409775&intent=buy-new&category=convertible
SPORTS CARS,Nissan,370Z,"Roadster Touring Automatic, 7-Spd w/Manual Mode","$42,728 - $45,499",https://www.kbb.com/nissan/370z/2016/touring/?vehicleid=409777&intent=buy-new&category=convertible
SPORTS CARS,Nissan,370Z,"Roadster Touring Sport Manual, 6-Spd","$44,065 - $46,925",https://www.kbb.com/nissan/370z/2016/touring-sport/?vehicleid=409782&intent=buy-new&category=convertible
SPORTS CARS,Nissan,370Z,"Roadster Touring Sport Automatic, 7-Spd w/Manual Mode","$45,235 - $48,171",https://www.kbb.com/nissan/370z/2016/touring-sport/?vehicleid=409783&intent=buy-new&category=convertible
SPORTS CARS,Porsche,718 Boxster/ 718 Cayman,,,
SPORTS CARS,Porsche,911,"Coupe Carrera 6-Cyl, 3.4 L Manual, 7-Spd Rear-Wheel Drive","$74,496 - $80,638",https://www.kbb.com/porsche/911/2016/carrera/?vehicleid=414953&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Carrera Black Edition 6-Cyl, 3.4 L Manual, 7-Spd Rear-Wheel Drive","$78,418 - $84,889",https://www.kbb.com/porsche/911/2016/carrera-black-edition/?vehicleid=414880&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Carrera 4 6-Cyl, 3.4 L Manual, 7-Spd All-Wheel Drive","$80,367 - $86,998",https://www.kbb.com/porsche/911/2016/carrera-4/?vehicleid=414948&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Carrera 4 Black Edition 6-Cyl, 3.4 L Manual, 7-Spd All-Wheel Drive","$84,154 - $91,057",https://www.kbb.com/porsche/911/2016/carrera-4-black-edition/?vehicleid=414913&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Carrera S 6-Cyl, 3.8 L Manual, 7-Spd Rear-Wheel Drive","$87,241 - $94,437",https://www.kbb.com/porsche/911/2016/carrera-s/?vehicleid=414950&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Targa 4 6-Cyl, 3.4 L Manual, 7-Spd All-Wheel Drive","$91,053 - $98,542",https://www.kbb.com/porsche/911/2016/targa-4/?vehicleid=414952&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Carrera 4S 6-Cyl, 3.8 L Manual, 7-Spd All-Wheel Drive","$93,110 - $100,792",https://www.kbb.com/porsche/911/2016/carrera-4s/?vehicleid=414949&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Carrera GTS 6-Cyl, 3.8 L Manual, 7-Spd Rear-Wheel Drive","$101,308 - $109,597",https://www.kbb.com/porsche/911/2016/carrera-gts/?vehicleid=414883&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Targa 4S 6-Cyl, 3.8 L Manual, 7-Spd All-Wheel Drive","$103,770 - $112,305",https://www.kbb.com/porsche/911/2016/targa-4s/?vehicleid=414878&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Carrera 4 GTS 6-Cyl, 3.8 L Manual, 7-Spd All-Wheel Drive","$106,436 - $115,222",https://www.kbb.com/porsche/911/2016/carrera-4-gts/?vehicleid=414884&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Targa 4 GTS 6-Cyl, 3.8 L Manual, 7-Spd All-Wheel Drive","$117,531 - $127,172",https://www.kbb.com/porsche/911/2016/targa-4-gts/?vehicleid=414892&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Turbo 6-Cyl, Twin Turbo, 3.8 L Automatic, 7-Spd w/PDK Manual Mode All-Wheel Drive","$137,297 - $148,590",https://www.kbb.com/porsche/911/2016/turbo/?vehicleid=414889&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe GT3 RS 6-Cyl, 4.0 L Automatic, 7-Spd w/PDK Manual Mode Rear-Wheel Drive","$169,978 - $176,950",https://www.kbb.com/porsche/911/2016/gt3-rs/?vehicleid=414912&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Coupe Turbo S 6-Cyl, Twin Turbo, 3.8 L Automatic, 7-Spd w/PDK Manual Mode All-Wheel Drive","$165,443 - $179,086",https://www.kbb.com/porsche/911/2016/turbo-s/?vehicleid=414906&intent=buy-new&category=coupe
SPORTS CARS,Porsche,911,"Cabriolet Carrera 6-Cyl, 3.4 L Manual, 7-Spd Rear-Wheel Drive","$84,883 - $91,881",https://www.kbb.com/porsche/911/2016/carrera/?vehicleid=414954&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Carrera Black Edition 6-Cyl, 3.4 L Manual, 7-Spd Rear-Wheel Drive","$86,886 - $94,058",https://www.kbb.com/porsche/911/2016/carrera-black-edition/?vehicleid=414890&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Carrera 4 6-Cyl, 3.4 L Manual, 7-Spd All-Wheel Drive","$90,758 - $98,240",https://www.kbb.com/porsche/911/2016/carrera-4/?vehicleid=414955&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Carrera 4 Black Edition 6-Cyl, 3.4 L Manual, 7-Spd All-Wheel Drive","$92,759 - $100,368",https://www.kbb.com/porsche/911/2016/carrera-4-black-edition/?vehicleid=414891&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Carrera S 6-Cyl, 3.8 L Manual, 7-Spd Rear-Wheel Drive","$97,628 - $105,675",https://www.kbb.com/porsche/911/2016/carrera-s/?vehicleid=414951&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Carrera 4S 6-Cyl, 3.8 L Manual, 7-Spd All-Wheel Drive","$103,782 - $112,317",https://www.kbb.com/porsche/911/2016/carrera-4s/?vehicleid=414888&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Carrera GTS 6-Cyl, 3.8 L Manual, 7-Spd Rear-Wheel Drive","$112,220 - $121,377",https://www.kbb.com/porsche/911/2016/carrera-gts/?vehicleid=414881&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Carrera 4 GTS 6-Cyl, 3.8 L Manual, 7-Spd All-Wheel Drive","$116,915 - $126,556",https://www.kbb.com/porsche/911/2016/carrera-4-gts/?vehicleid=414907&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Turbo 6-Cyl, Twin Turbo, 3.8 L Automatic, 7-Spd w/PDK Manual Mode All-Wheel Drive","$148,115 - $160,298",https://www.kbb.com/porsche/911/2016/turbo/?vehicleid=414879&intent=buy-new&category=convertible
SPORTS CARS,Porsche,911,"Cabriolet Turbo S 6-Cyl, Twin Turbo, 3.8 L Automatic, 7-Spd w/PDK Manual Mode All-Wheel Drive","$176,646 - $191,175",https://www.kbb.com/porsche/911/2016/turbo-s/?vehicleid=414935&intent=buy-new&category=convertible
SPORTS CARS,Toyota,86/Subaru BRZ,,,
SPORT SEDANS,Alfa Romeo,Giulia,,,
SPORT SEDANS,Audi,A4/S4,,,
SPORT SEDANS,Audi,A5/S5,,,
SPORT SEDANS,BMW,M235i,,,
SPORT SEDANS,BMW,M3 and M4,,,
SPORT SEDANS,Cadillac,ATS/ATS-V,,,
SPORT SEDANS,Infiniti,Q60,,,
SPORT SEDANS,Jaguar,F-Type,"Coupe Base V6, Supercharged, 3.0 L Manual, 6-Spd Rear-Wheel Drive","$56,376 - $61,760",https://www.kbb.com/jaguar/f-type/2016/base-style/?vehicleid=407434&intent=buy-new&category=coupe
SPORT SEDANS,Jaguar,F-Type,"Coupe S V6, Supercharged, 3.0 L Manual, 6-Spd Rear-Wheel Drive","$66,880 - $73,267",https://www.kbb.com/jaguar/f-type/2016/s/?vehicleid=407437&intent=buy-new&category=coupe
SPORT SEDANS,Jaguar,F-Type,"Convertible Base V6, Supercharged, 3.0 L Manual, 6-Spd Rear-Wheel Drive","$59,028 - $64,668",https://www.kbb.com/jaguar/f-type/2016/base-style/?vehicleid=407436&intent=buy-new&category=convertible
SPORT SEDANS,Jaguar,F-Type,"Convertible S V6, Supercharged, 3.0 L Manual, 6-Spd Rear-Wheel Drive","$69,525 - $76,164",https://www.kbb.com/jaguar/f-type/2016/s/?vehicleid=407439&intent=buy-new&category=convertible
SPORT SEDANS,Subaru,WRX,"WRX 4-Cyl, Turbo, 2.0 L Manual, 6-Spd","$25,441 - $26,636",https://www.kbb.com/subaru/wrx/2016/wrx/?vehicleid=409843&intent=buy-new&category=sedan
SPORT SEDANS,Subaru,WRX,"WRX Premium 4-Cyl, Turbo, 2.0 L Manual, 6-Spd","$27,579 - $28,875",https://www.kbb.com/subaru/wrx/2016/wrx-premium/?vehicleid=409845&intent=buy-new&category=sedan
SPORT SEDANS,Subaru,WRX,"WRX Premium 4-Cyl, Turbo, 2.0 L Automatic, CVT w/Lineartronic & Manual Modes","$28,693 - $30,044",https://www.kbb.com/subaru/wrx/2016/wrx-premium/?vehicleid=409846&intent=buy-new&category=sedan
SPORT SEDANS,Subaru,WRX,"WRX Limited 4-Cyl, Turbo, 2.0 L Manual, 6-Spd","$29,229 - $30,592",https://www.kbb.com/subaru/wrx/2016/wrx-limited/?vehicleid=409847&intent=buy-new&category=sedan
SPORT SEDANS,Subaru,WRX,"WRX Limited 4-Cyl, Turbo, 2.0 L Automatic, CVT w/Lineartronic & Manual Modes","$30,353 - $31,770",https://www.kbb.com/subaru/wrx/2016/wrx-limited/?vehicleid=409848&intent=buy-new&category=sedan
SPORT SEDANS,Subaru,WRX,"WRX STI 4-Cyl, Turbo, 2.5 L Manual, 6-Spd","$33,528 - $35,079",https://www.kbb.com/subaru/wrx/2016/wrx-sti/?vehicleid=409850&intent=buy-new&category=sedan
SPORT SEDANS,Subaru,WRX,"WRX STI Limited 4-Cyl, Turbo, 2.5 L Manual, 6-Spd (w/Low Profile Trunk Spoiler)","$37,888 - $39,671",https://www.kbb.com/subaru/wrx/2016/wrx-sti-limited/?vehicleid=409849&intent=buy-new&category=sedan
SPORT SEDANS,Subaru,WRX,"WRX STI Limited 4-Cyl, Turbo, 2.5 L Manual, 6-Spd (w/Wing Spoiler)","$37,888 - $39,671",https://www.kbb.com/subaru/wrx/2016/wrx-sti-limited/?vehicleid=409851&intent=buy-new&category=sedan
